design,n_groups,coef_var,tests_per_group,n_tested_for_sensitivity,n_tested_for_specificity,prev,sensitivity,specificity,prop_groups_with_prev,group_distribution,n_groups_with_prev,group_prev,partition
152,50,0.05360602843771107,200,60,300,0.005,0.95,0.85,0.75,low,38,0.00671879781565258,3
153,50,0.05360602843771107,200,60,300,0.005,0.95,0.85,0.75,uniform,38,0.006587332488241619,3
154,50,0.05360602843771107,200,60,300,0.005,0.95,0.9,0.75,high,38,0.006437789162432964,3
155,50,0.05360602843771107,200,60,300,0.005,0.95,0.9,0.75,low,38,0.00671879781565258,3
156,50,0.05360602843771107,200,60,300,0.005,0.95,0.9,0.75,uniform,38,0.006587332488241619,3
157,50,0.05360602843771107,200,60,300,0.005,0.95,0.95,0.75,high,38,0.006437789162432964,3
158,50,0.05360602843771107,200,60,300,0.005,0.95,0.95,0.75,low,38,0.00671879781565258,3
159,50,0.05360602843771107,200,60,300,0.005,0.95,0.95,0.75,uniform,38,0.006587332488241619,3
160,50,0.05360602843771107,200,60,300,0.005,0.95,1,0.75,high,38,0.006437789162432964,3
161,50,0.05360602843771107,200,60,300,0.005,0.95,1,0.75,low,38,0.00671879781565258,3
162,50,0.05360602843771107,200,60,300,0.005,0.95,1,0.75,uniform,38,0.006587332488241619,3
163,50,0.05360602843771107,200,60,300,0.05,0.95,0.75,0.75,high,38,0.06437789162432964,3
164,50,0.05360602843771107,200,60,300,0.05,0.95,0.75,0.75,low,38,0.06718797815652579,3
165,50,0.05360602843771107,200,60,300,0.05,0.95,0.75,0.75,uniform,38,0.06587332488241619,3
166,50,0.05360602843771107,200,60,300,0.05,0.95,0.8,0.75,high,38,0.06437789162432964,3
167,50,0.05360602843771107,200,60,300,0.05,0.95,0.8,0.75,low,38,0.06718797815652579,3
168,50,0.05360602843771107,200,60,300,0.05,0.95,0.8,0.75,uniform,38,0.06587332488241619,3
169,50,0.05360602843771107,200,60,300,0.05,0.95,0.85,0.75,high,38,0.06437789162432964,3
170,50,0.05360602843771107,200,60,300,0.05,0.95,0.85,0.75,low,38,0.06718797815652579,3
171,50,0.05360602843771107,200,60,300,0.05,0.95,0.85,0.75,uniform,38,0.06587332488241619,3
172,50,0.05360602843771107,200,60,300,0.05,0.95,0.9,0.75,high,38,0.06437789162432964,3
173,50,0.05360602843771107,200,60,300,0.05,0.95,0.9,0.75,low,38,0.06718797815652579,3
174,50,0.05360602843771107,200,60,300,0.05,0.95,0.9,0.75,uniform,38,0.06587332488241619,4
175,50,0.05360602843771107,200,60,300,0.05,0.95,0.95,0.75,high,38,0.06437789162432964,4
176,50,0.05360602843771107,200,60,300,0.05,0.95,0.95,0.75,low,38,0.06718797815652579,4
177,50,0.05360602843771107,200,60,300,0.05,0.95,0.95,0.75,uniform,38,0.06587332488241619,4
178,50,0.05360602843771107,200,60,300,0.05,0.95,1,0.75,high,38,0.06437789162432964,4
179,50,0.05360602843771107,200,60,300,0.05,0.95,1,0.75,low,38,0.06718797815652579,4
180,50,0.05360602843771107,200,60,300,0.05,0.95,1,0.75,uniform,38,0.06587332488241619,4
181,50,0.053236976722873884,200,60,300,0.005,0.95,0.75,0.75,high,38,0.006438489706695294,4
182,50,0.053236976722873884,200,60,300,0.005,0.95,0.75,0.75,low,38,0.006722064792754885,4
183,50,0.053236976722873884,200,60,300,0.005,0.95,0.75,0.75,uniform,38,0.006582627917712238,4
184,50,0.053236976722873884,200,60,300,0.005,0.95,0.8,0.75,high,38,0.006438489706695294,4
185,50,0.053236976722873884,200,60,300,0.005,0.95,0.8,0.75,low,38,0.006722064792754885,4
186,50,0.053236976722873884,200,60,300,0.005,0.95,0.8,0.75,uniform,38,0.006582627917712238,4
187,50,0.053236976722873884,200,60,300,0.005,0.95,0.85,0.75,high,38,0.006438489706695294,4
188,50,0.053236976722873884,200,60,300,0.005,0.95,0.85,0.75,low,38,0.006722064792754885,4
189,50,0.053236976722873884,200,60,300,0.005,0.95,0.85,0.75,uniform,38,0.006582627917712238,4
190,50,0.053236976722873884,200,60,300,0.005,0.95,0.9,0.75,high,38,0.006438489706695294,4
191,50,0.053236976722873884,200,60,300,0.005,0.95,0.9,0.75,low,38,0.006722064792754885,4
192,50,0.053236976722873884,200,60,300,0.005,0.95,0.9,0.75,uniform,38,0.006582627917712238,4
193,50,0.053236976722873884,200,60,300,0.005,0.95,0.95,0.75,high,38,0.006438489706695294,4
194,50,0.053236976722873884,200,60,300,0.005,0.95,0.95,0.75,low,38,0.006722064792754885,4
195,50,0.053236976722873884,200,60,300,0.005,0.95,0.95,0.75,uniform,38,0.006582627917712238,4
196,50,0.053236976722873884,200,60,300,0.005,0.95,1,0.75,high,38,0.006438489706695294,4
197,50,0.053236976722873884,200,60,300,0.005,0.95,1,0.75,low,38,0.006722064792754885,4
198,50,0.053236976722873884,200,60,300,0.005,0.95,1,0.75,uniform,38,0.006582627917712238,4
199,50,0.053236976722873884,200,60,300,0.05,0.95,0.75,0.75,high,38,0.06438489706695294,4
200,50,0.053236976722873884,200,60,300,0.05,0.95,0.75,0.75,low,38,0.06722064792754885,4
201,50,0.053236976722873884,200,60,300,0.05,0.95,0.75,0.75,uniform,38,0.06582627917712239,4
202,50,0.053236976722873884,200,60,300,0.05,0.95,0.8,0.75,high,38,0.06438489706695294,4
203,50,0.053236976722873884,200,60,300,0.05,0.95,0.8,0.75,low,38,0.06722064792754885,4
204,50,0.053236976722873884,200,60,300,0.05,0.95,0.8,0.75,uniform,38,0.06582627917712239,4
205,50,0.053236976722873884,200,60,300,0.05,0.95,0.85,0.75,high,38,0.06438489706695294,4
206,50,0.053236976722873884,200,60,300,0.05,0.95,0.85,0.75,low,38,0.06722064792754885,4
207,50,0.053236976722873884,200,60,300,0.05,0.95,0.85,0.75,uniform,38,0.06582627917712239,4
208,50,0.053236976722873884,200,60,300,0.05,0.95,0.9,0.75,high,38,0.06438489706695294,4
209,50,0.053236976722873884,200,60,300,0.05,0.95,0.9,0.75,low,38,0.06722064792754885,4
210,50,0.053236976722873884,200,60,300,0.05,0.95,0.9,0.75,uniform,38,0.06582627917712239,4
211,50,0.053236976722873884,200,60,300,0.05,0.95,0.95,0.75,high,38,0.06438489706695294,4
212,50,0.053236976722873884,200,60,300,0.05,0.95,0.95,0.75,low,38,0.06722064792754885,4
213,50,0.053236976722873884,200,60,300,0.05,0.95,0.95,0.75,uniform,38,0.06582627917712239,4
214,50,0.053236976722873884,200,60,300,0.05,0.95,1,0.75,high,38,0.06438489706695294,4
215,50,0.053236976722873884,200,60,300,0.05,0.95,1,0.75,low,38,0.06722064792754885,4
216,50,0.053236976722873884,200,60,300,0.05,0.95,1,0.75,uniform,38,0.06582627917712239,4
217,50,0.07663179162838905,200,60,300,0.005,0.95,0.75,0.75,high,38,0.006385331866550755,4
218,50,0.07663179162838905,200,60,300,0.005,0.95,0.75,0.75,low,38,0.006789222700860424,4
219,50,0.07663179162838905,200,60,300,0.005,0.95,0.75,0.75,uniform,38,0.006580487374882817,4
220,50,0.07663179162838905,200,60,300,0.005,0.95,0.8,0.75,high,38,0.006385331866550755,4
221,50,0.07663179162838905,200,60,300,0.005,0.95,0.8,0.75,low,38,0.006789222700860424,4
222,50,0.07663179162838905,200,60,300,0.005,0.95,0.8,0.75,uniform,38,0.006580487374882817,4
223,50,0.07663179162838905,200,60,300,0.005,0.95,0.85,0.75,high,38,0.006385331866550755,4
224,50,0.07663179162838905,200,60,300,0.005,0.95,0.85,0.75,low,38,0.006789222700860424,4
225,50,0.07663179162838905,200,60,300,0.005,0.95,0.85,0.75,uniform,38,0.006580487374882817,4
226,50,0.07663179162838905,200,60,300,0.005,0.95,0.9,0.75,high,38,0.006385331866550755,4
227,50,0.07663179162838905,200,60,300,0.005,0.95,0.9,0.75,low,38,0.006789222700860424,4
228,50,0.07663179162838905,200,60,300,0.005,0.95,0.9,0.75,uniform,38,0.006580487374882817,4
229,50,0.07663179162838905,200,60,300,0.005,0.95,0.95,0.75,high,38,0.006385331866550755,4
230,50,0.07663179162838905,200,60,300,0.005,0.95,0.95,0.75,low,38,0.006789222700860424,4
231,50,0.07663179162838905,200,60,300,0.005,0.95,0.95,0.75,uniform,38,0.006580487374882817,4
232,50,0.07663179162838905,200,60,300,0.005,0.95,1,0.75,high,38,0.006385331866550755,5
233,50,0.07663179162838905,200,60,300,0.005,0.95,1,0.75,low,38,0.006789222700860424,5
234,50,0.07663179162838905,200,60,300,0.005,0.95,1,0.75,uniform,38,0.006580487374882817,5
235,50,0.07663179162838905,200,60,300,0.05,0.95,0.75,0.75,high,38,0.06385331866550756,5
236,50,0.07663179162838905,200,60,300,0.05,0.95,0.75,0.75,low,38,0.06789222700860424,5
237,50,0.07663179162838905,200,60,300,0.05,0.95,0.75,0.75,uniform,38,0.06580487374882817,5
238,50,0.07663179162838905,200,60,300,0.05,0.95,0.8,0.75,high,38,0.06385331866550756,5
239,50,0.07663179162838905,200,60,300,0.05,0.95,0.8,0.75,low,38,0.06789222700860424,5
240,50,0.07663179162838905,200,60,300,0.05,0.95,0.8,0.75,uniform,38,0.06580487374882817,5
241,50,0.07663179162838905,200,60,300,0.05,0.95,0.85,0.75,high,38,0.06385331866550756,5
242,50,0.07663179162838905,200,60,300,0.05,0.95,0.85,0.75,low,38,0.06789222700860424,5
243,50,0.07663179162838905,200,60,300,0.05,0.95,0.85,0.75,uniform,38,0.06580487374882817,5
244,50,0.07663179162838905,200,60,300,0.05,0.95,0.9,0.75,high,38,0.06385331866550756,5
245,50,0.07663179162838905,200,60,300,0.05,0.95,0.9,0.75,low,38,0.06789222700860424,5
246,50,0.07663179162838905,200,60,300,0.05,0.95,0.9,0.75,uniform,38,0.06580487374882817,5
247,50,0.07663179162838905,200,60,300,0.05,0.95,0.95,0.75,high,38,0.06385331866550756,5
248,50,0.07663179162838905,200,60,300,0.05,0.95,0.95,0.75,low,38,0.06789222700860424,5
249,50,0.07663179162838905,200,60,300,0.05,0.95,0.95,0.75,uniform,38,0.06580487374882817,5
250,50,0.07663179162838905,200,60,300,0.05,0.95,1,0.75,high,38,0.06385331866550756,5
251,50,0.07663179162838905,200,60,300,0.05,0.95,1,0.75,low,38,0.06789222700860424,5
252,50,0.07663179162838905,200,60,300,0.05,0.95,1,0.75,uniform,38,0.06580487374882817,5
253,50,0.07226446783640587,200,60,300,0.005,0.95,0.75,0.75,high,38,0.00638565583941752,5
254,50,0.07226446783640587,200,60,300,0.005,0.95,0.75,0.75,low,38,0.006777059894626714,5
255,50,0.07226446783640587,200,60,300,0.005,0.95,0.75,0.75,uniform,38,0.0065792909590558874,5
256,50,0.07226446783640587,200,60,300,0.005,0.95,0.8,0.75,high,38,0.00638565583941752,5
257,50,0.07226446783640587,200,60,300,0.005,0.95,0.8,0.75,low,38,0.006777059894626714,5
258,50,0.07226446783640587,200,60,300,0.005,0.95,0.8,0.75,uniform,38,0.0065792909590558874,5
259,50,0.07226446783640587,200,60,300,0.005,0.95,0.85,0.75,high,38,0.00638565583941752,5
260,50,0.07226446783640587,200,60,300,0.005,0.95,0.85,0.75,low,38,0.006777059894626714,5
261,50,0.07226446783640587,200,60,300,0.005,0.95,0.85,0.75,uniform,38,0.0065792909590558874,5
262,50,0.07226446783640587,200,60,300,0.005,0.95,0.9,0.75,high,38,0.00638565583941752,5
263,50,0.07226446783640587,200,60,300,0.005,0.95,0.9,0.75,low,38,0.006777059894626714,5
264,50,0.07226446783640587,200,60,300,0.005,0.95,0.9,0.75,uniform,38,0.0065792909590558874,5
265,50,0.07226446783640587,200,60,300,0.005,0.95,0.95,0.75,high,38,0.00638565583941752,5
266,50,0.07226446783640587,200,60,300,0.005,0.95,0.95,0.75,low,38,0.006777059894626714,5
