design,method,lower_error_freq,upper_error_freq,coverage
230,WprevSeSp,0,0,1
230,WprevSeSp_gamma_result,0,0,1
231,WprevSeSp,0,0,1
231,WprevSeSp_gamma_result,0,0,1
232,WprevSeSp,0,0,1
232,WprevSeSp_gamma_result,0,0,1
233,WprevSeSp,0,0,1
233,WprevSeSp_gamma_result,0,0,1
234,WprevSeSp,0,0,1
234,WprevSeSp_gamma_result,0,0,1
235,WprevSeSp,0,0,1
235,WprevSeSp_gamma_result,0,0,1
236,WprevSeSp,0,0,1
236,WprevSeSp_gamma_result,0,0,1
237,WprevSeSp,0,0,1
237,WprevSeSp_gamma_result,0,0,1
238,WprevSeSp,0,0,1
238,WprevSeSp_gamma_result,0,0,1
239,WprevSeSp,0,0,1
239,WprevSeSp_gamma_result,0,0,1
240,WprevSeSp,0,0,1
240,WprevSeSp_gamma_result,0,0,1
241,WprevSeSp,0,0,1
241,WprevSeSp_gamma_result,0,0,1
242,WprevSeSp,0,0,1
242,WprevSeSp_gamma_result,0,0,1
243,WprevSeSp,0,0,1
243,WprevSeSp_gamma_result,0,0,1
244,WprevSeSp,0,0,1
244,WprevSeSp_gamma_result,0,0,1
245,WprevSeSp,0,0,1
245,WprevSeSp_gamma_result,0,0,1
246,WprevSeSp,0,0,1
246,WprevSeSp_gamma_result,0,0,1
247,WprevSeSp,0,0,1
247,WprevSeSp_gamma_result,0,0,1
248,WprevSeSp,0,0,1
248,WprevSeSp_gamma_result,0,0,1
249,WprevSeSp,0,0,1
249,WprevSeSp_gamma_result,0,0,1
250,WprevSeSp,0,0,1
250,WprevSeSp_gamma_result,0,0,1
251,WprevSeSp,0,0.1664,0.8336
251,WprevSeSp_gamma_result,0,0.1664,0.8336
252,WprevSeSp,0,0,1
252,WprevSeSp_gamma_result,0,0,1
253,WprevSeSp,0,0,1
253,WprevSeSp_gamma_result,0,0,1
254,WprevSeSp,0,0,1
254,WprevSeSp_gamma_result,0,0,1
255,WprevSeSp,0,0,1
255,WprevSeSp_gamma_result,0,0,1
256,WprevSeSp,0,0,1
256,WprevSeSp_gamma_result,0,0,1
257,WprevSeSp,0,0,1
257,WprevSeSp_gamma_result,0,0,1
258,WprevSeSp,0,0,1
258,WprevSeSp_gamma_result,0,0,1
259,WprevSeSp,0,0,1
259,WprevSeSp_gamma_result,0,0,1
260,WprevSeSp,0,0,1
260,WprevSeSp_gamma_result,0,0,1
261,WprevSeSp,0,0,1
261,WprevSeSp_gamma_result,0,0,1
262,WprevSeSp,0,0,1
262,WprevSeSp_gamma_result,0,0,1
263,WprevSeSp,0,0,1
263,WprevSeSp_gamma_result,0,0,1
264,WprevSeSp,0,0,1
264,WprevSeSp_gamma_result,0,0,1
265,WprevSeSp,0,0,1
265,WprevSeSp_gamma_result,0,0,1
266,WprevSeSp,0,0,1
266,WprevSeSp_gamma_result,0,0,1
267,WprevSeSp,0,0,1
267,WprevSeSp_gamma_result,0,0,1
268,WprevSeSp,0,0,1
268,WprevSeSp_gamma_result,0,0,1
269,WprevSeSp,0,0,1
269,WprevSeSp_gamma_result,0,0,1
270,WprevSeSp,0,0,1
270,WprevSeSp_gamma_result,0,0,1
271,WprevSeSp,0,0,1
271,WprevSeSp_gamma_result,0,0,1
272,WprevSeSp,0,0,1
272,WprevSeSp_gamma_result,0,0,1
273,WprevSeSp,0,0,1
273,WprevSeSp_gamma_result,0,0,1
274,WprevSeSp,0,0,1
274,WprevSeSp_gamma_result,0,0,1
275,WprevSeSp,0,0,1
275,WprevSeSp_gamma_result,0,0,1
276,WprevSeSp,0,0,1
