design,method,lower_error_freq,upper_error_freq,coverage
111,wspoissonTest_midp,0.0099,0.0101,0.98
112,AC,0.0186,0.0128,0.9686
112,CP,0.0146,0.0139,0.9715
112,wspoissonTest,0.0146,0.0118,0.9736
112,wspoissonTest_midp,0.0183,0.0169,0.9648
113,AC,0.0194,0.0157,0.9649
113,CP,0.0136,0.0157,0.9707
113,wspoissonTest,0.0136,0.0157,0.9707
113,wspoissonTest_midp,0.0194,0.0157,0.9649
114,AC,0.0202,0.0157,0.9641
114,CP,0.0152,0.0165,0.9683
114,wspoissonTest,0.0156,0.0151,0.9693
114,wspoissonTest_midp,0.0174,0.0196,0.963
115,AC,0.0234,0.0164,0.9602
115,CP,0.0177,0.0176,0.9647
115,wspoissonTest,0.0178,0.0143,0.9679
115,wspoissonTest_midp,0.0204,0.0197,0.9599
116,AC,0.0223,0.0153,0.9624
116,CP,0.0196,0.0179,0.9625
116,wspoissonTest,0.0198,0.0172,0.963
116,wspoissonTest_midp,0.0213,0.0226,0.9561
117,AC,0.0252,0.0181,0.9567
117,CP,0.0204,0.0186,0.961
117,wspoissonTest,0.0204,0.0177,0.9619
117,wspoissonTest_midp,0.0234,0.0207,0.9559
118,AC,0.0279,0.0201,0.952
118,CP,0.0239,0.0208,0.9553
118,wspoissonTest,0.0241,0.0197,0.9562
118,wspoissonTest_midp,0.026,0.0235,0.9505
119,AC,0.0287,0.0205,0.9508
119,CP,0.0204,0.0215,0.9581
119,wspoissonTest,0.0204,0.021,0.9586
119,wspoissonTest_midp,0.023,0.0231,0.9539
120,AC,0.026,0.0185,0.9555
120,CP,0.02,0.0198,0.9602
120,wspoissonTest,0.0202,0.0183,0.9615
120,wspoissonTest_midp,0.0233,0.0231,0.9536
121,AC,0.0277,0.0178,0.9545
121,CP,0.0208,0.0189,0.9603
121,wspoissonTest,0.0209,0.0164,0.9627
121,wspoissonTest_midp,0.0254,0.0214,0.9532
122,AC,0.0303,0.018,0.9517
122,CP,0.0219,0.0191,0.959
122,wspoissonTest,0.022,0.0182,0.9598
122,wspoissonTest_midp,0.0274,0.0232,0.9494
123,AC,0.0262,0.0212,0.9526
123,CP,0.0199,0.0224,0.9577
123,wspoissonTest,0.0199,0.0203,0.9598
123,wspoissonTest_midp,0.0233,0.0254,0.9513
124,AC,0.0283,0.0204,0.9513
124,CP,0.0233,0.0214,0.9553
124,wspoissonTest,0.0234,0.0195,0.9571
124,wspoissonTest_midp,0.0263,0.0239,0.9498
125,AC,0.0263,0.0213,0.9524
125,CP,0.0211,0.0221,0.9568
125,wspoissonTest,0.0211,0.0211,0.9578
125,wspoissonTest_midp,0.0244,0.0253,0.9503
126,AC,0.0285,0.0223,0.9492
126,CP,0.0205,0.0228,0.9567
126,wspoissonTest,0.0208,0.0217,0.9575
126,wspoissonTest_midp,0.0253,0.0252,0.9495
127,AC,0.0106,0.009,0.9804
127,CP,0.0074,0.009,0.9836
127,wspoissonTest,0.0074,0.009,0.9836
127,wspoissonTest_midp,0.0106,0.009,0.9804
128,AC,0.0123,0.0112,0.9765
128,CP,0.0123,0.0112,0.9765
128,wspoissonTest,0.0123,0.0112,0.9765
128,wspoissonTest_midp,0.0123,0.0112,0.9765
129,AC,0.0109,0.0119,0.9772
129,CP,0.0109,0.0119,0.9772
129,wspoissonTest,0.0109,0.0076,0.9815
129,wspoissonTest_midp,0.0109,0.0119,0.9772
130,AC,0.0191,0.0129,0.968
130,CP,0.0141,0.013,0.9729
130,wspoissonTest,0.0141,0.0129,0.973
130,wspoissonTest_midp,0.0178,0.0158,0.9664
131,AC,0.0228,0.0153,0.9619
131,CP,0.0149,0.0153,0.9698
131,wspoissonTest,0.0149,0.0153,0.9698
131,wspoissonTest_midp,0.0153,0.0217,0.963
132,AC,0.0215,0.0137,0.9648
132,CP,0.0174,0.015,0.9676
132,wspoissonTest,0.0174,0.0133,0.9693
132,wspoissonTest_midp,0.0189,0.0172,0.9639
133,AC,0.026,0.0157,0.9583
133,CP,0.0189,0.0165,0.9646
133,wspoissonTest,0.0189,0.0151,0.966
133,wspoissonTest_midp,0.0257,0.0208,0.9535
134,AC,0.0238,0.0181,0.9581
134,CP,0.0189,0.0183,0.9628
134,wspoissonTest,0.0189,0.0181,0.963
134,wspoissonTest_midp,0.0197,0.0228,0.9575
135,AC,0.0221,0.0193,0.9586
135,CP,0.0171,0.0207,0.9622
135,wspoissonTest,0.0173,0.0182,0.9645
135,wspoissonTest_midp,0.0201,0.0231,0.9568
136,AC,0.0258,0.0189,0.9553
136,CP,0.0212,0.0192,0.9596
136,wspoissonTest,0.0212,0.0188,0.96
136,wspoissonTest_midp,0.0229,0.0231,0.954
137,AC,0.028,0.019,0.953
137,CP,0.0237,0.0192,0.9571
137,wspoissonTest,0.024,0.019,0.957
137,wspoissonTest_midp,0.0269,0.0233,0.9498
138,AC,0.0266,0.0184,0.955
138,CP,0.0212,0.0194,0.9594
138,wspoissonTest,0.0212,0.0179,0.9609
138,wspoissonTest_midp,0.0243,0.0223,0.9534
139,AC,0.0268,0.0173,0.9559
139,CP,0.0214,0.0187,0.9599
139,wspoissonTest,0.0216,0.0166,0.9618
139,wspoissonTest_midp,0.0261,0.0219,0.952
140,AC,0.0264,0.0204,0.9532
140,CP,0.0201,0.0217,0.9582
140,wspoissonTest,0.0201,0.0204,0.9595
140,wspoissonTest_midp,0.0234,0.0264,0.9502
141,AC,0.0269,0.0207,0.9524
141,CP,0.0211,0.0219,0.957
141,wspoissonTest,0.0214,0.0201,0.9585
141,wspoissonTest_midp,0.0247,0.025,0.9503
142,AC,0.0268,0.0184,0.9548
142,CP,0.0199,0.0194,0.9607
142,wspoissonTest,0.02,0.0178,0.9622
142,wspoissonTest_midp,0.024,0.0217,0.9543
143,AC,0.0272,0.0198,0.953
143,CP,0.0208,0.0213,0.9579
143,wspoissonTest,0.0208,0.0197,0.9595
143,wspoissonTest_midp,0.0249,0.0252,0.9499
144,AC,0.0267,0.0192,0.9541
144,CP,0.0202,0.0203,0.9595
144,wspoissonTest,0.0204,0.0189,0.9607
144,wspoissonTest_midp,0.0233,0.0228,0.9539
145,AC,0.011,0.0093,0.9797
145,CP,0.008,0.0093,0.9827
145,wspoissonTest,0.008,0.0053,0.9867
145,wspoissonTest_midp,0.011,0.0093,0.9797
146,AC,0.014,0.01,0.976
146,CP,0.014,0.01,0.976
146,wspoissonTest,0.014,0.01,0.976
146,wspoissonTest_midp,0.014,0.0179,0.9681
147,AC,0.0103,0.0118,0.9779
147,CP,0.0103,0.0118,0.9779
147,wspoissonTest,0.0103,0.0073,0.9824
147,wspoissonTest_midp,0.0103,0.0118,0.9779
148,AC,0.0201,0.0137,0.9662
148,CP,0.014,0.0144,0.9716
148,wspoissonTest,0.014,0.012,0.974
148,wspoissonTest_midp,0.0185,0.0155,0.966
149,AC,0.0218,0.0177,0.9605
149,CP,0.0145,0.0183,0.9672
149,wspoissonTest,0.0145,0.0183,0.9672
149,wspoissonTest_midp,0.0148,0.0183,0.9669
150,AC,0.0201,0.0141,0.9658
150,CP,0.0142,0.0144,0.9714
150,wspoissonTest,0.0142,0.0138,0.972
150,wspoissonTest_midp,0.0168,0.0166,0.9666
151,AC,0.0245,0.019,0.9565
151,CP,0.019,0.0194,0.9616
151,wspoissonTest,0.0192,0.0169,0.9639
151,wspoissonTest_midp,0.0226,0.0208,0.9566
