design,n_groups,coef_var,tests_per_group,prev,prop_groups_with_prev,group_distribution,n_groups_with_prev,group_prev,partition
253,50,0.14859113434659996,200,0.005,0.02,high,1,0.3544404001358249,5
254,50,0.14859113434659996,200,0.005,0.02,low,1,0.19251785119476628,5
255,50,0.14859113434659996,200,0.005,0.02,uniform,1,0.25185065304865834,5
256,50,0.14859113434659996,200,0.005,0.05,high,2,0.16979546469406226,5
257,50,0.14859113434659996,200,0.005,0.05,low,2,0.09682638061352249,5
258,50,0.14859113434659996,200,0.005,0.05,uniform,2,0.12684023348113027,5
259,50,0.14859113434659996,200,0.005,0.1,high,5,0.0650649185101098,5
260,50,0.14859113434659996,200,0.005,0.1,low,5,0.039608033135148865,5
261,50,0.14859113434659996,200,0.005,0.1,uniform,5,0.0501032985225284,5
262,50,0.14859113434659996,200,0.005,0.25,high,12,0.02539580588164634,5
263,50,0.14859113434659996,200,0.005,0.25,low,12,0.017293518624368627,5
264,50,0.14859113434659996,200,0.005,0.25,uniform,12,0.020832260988569978,5
265,50,0.14859113434659996,200,0.005,0.5,high,25,0.011395360086404228,5
266,50,0.14859113434659996,200,0.005,0.5,low,25,0.008909084033148816,6
267,50,0.14859113434659996,200,0.005,0.5,uniform,25,0.00999135612838458,6
268,50,0.14859113434659996,200,0.005,0.75,high,38,0.007033591908377162,6
269,50,0.14859113434659996,200,0.005,0.75,low,38,0.006225742201365863,6
270,50,0.14859113434659996,200,0.005,0.75,uniform,38,0.006581568917946285,6
271,50,0.15687842990836148,200,0.005,0.02,high,1,0.41722551136152236,6
272,50,0.15687842990836148,200,0.005,0.02,low,1,0.19542782161142577,6
273,50,0.15687842990836148,200,0.005,0.02,uniform,1,0.2465972144675742,6
274,50,0.15687842990836148,200,0.005,0.05,high,2,0.19234737435374108,6
275,50,0.15687842990836148,200,0.005,0.05,low,2,0.09782998459984098,6
276,50,0.15687842990836148,200,0.005,0.05,uniform,2,0.12452414722822144,6
277,50,0.15687842990836148,200,0.005,0.1,high,5,0.06902510434650465,6
278,50,0.15687842990836148,200,0.005,0.1,low,5,0.03987770568961457,6
279,50,0.15687842990836148,200,0.005,0.1,uniform,5,0.04971769981878472,6
280,50,0.15687842990836148,200,0.005,0.25,high,12,0.026119641776448366,6
281,50,0.15687842990836148,200,0.005,0.25,low,12,0.017443374005005122,6
282,50,0.15687842990836148,200,0.005,0.25,uniform,12,0.020780423448012064,6
283,50,0.15687842990836148,200,0.005,0.5,high,25,0.011499234082521638,6
284,50,0.15687842990836148,200,0.005,0.5,low,25,0.008846607105171421,6
285,50,0.15687842990836148,200,0.005,0.5,uniform,25,0.009965356165361108,6
286,50,0.15687842990836148,200,0.005,0.75,high,38,0.0070091013892168,6
287,50,0.15687842990836148,200,0.005,0.75,low,38,0.006183732198899265,6
288,50,0.15687842990836148,200,0.005,0.75,uniform,38,0.006567530158301549,6
