design,method,lower_error_freq,upper_error_freq,coverage
117,CP,0.018,0.0168,0.9652
117,wspoissonTest,0.0183,0.0166,0.9651
117,wspoissonTest_midp,0.0198,0.0176,0.9626
118,AC,0.021,0.0236,0.9554
118,CP,0.0187,0.0234,0.9579
118,wspoissonTest,0.0187,0.023,0.9583
118,wspoissonTest_midp,0.0199,0.0241,0.956
119,AC,0.0244,0.0203,0.9553
119,CP,0.0226,0.0203,0.9571
119,wspoissonTest,0.0227,0.02,0.9573
119,wspoissonTest_midp,0.0238,0.0207,0.9555
120,AC,0.0222,0.0197,0.9581
120,CP,0.0203,0.0197,0.96
120,wspoissonTest,0.0205,0.0193,0.9602
120,wspoissonTest_midp,0.0217,0.0212,0.9571
121,AC,0.0048,0.0045,0.9907
121,CP,0.0036,0.0045,0.9919
121,wspoissonTest,0.0039,0.0043,0.9918
121,wspoissonTest_midp,0.0048,0.0052,0.99
122,AC,5e-4,6e-4,0.9989
122,CP,5e-4,6e-4,0.9989
122,wspoissonTest,5e-4,6e-4,0.9989
122,wspoissonTest_midp,5e-4,7e-4,0.9988
123,AC,0.0027,0.0027,0.9946
123,CP,0.0023,0.0027,0.995
123,wspoissonTest,0.0024,0.0026,0.995
123,wspoissonTest_midp,0.0026,0.0029,0.9945
124,AC,0.0143,0.0145,0.9712
124,CP,0.0122,0.0145,0.9733
124,wspoissonTest,0.0125,0.0145,0.973
124,wspoissonTest_midp,0.0137,0.0152,0.9711
125,AC,0.0126,0.0121,0.9753
125,CP,0.0117,0.0121,0.9762
125,wspoissonTest,0.0117,0.0115,0.9768
125,wspoissonTest_midp,0.0123,0.0123,0.9754
126,AC,0.0134,0.013,0.9736
126,CP,0.0114,0.0129,0.9757
126,wspoissonTest,0.0117,0.0126,0.9757
126,wspoissonTest_midp,0.0129,0.0138,0.9733
127,AC,0.0228,0.017,0.9602
127,CP,0.0207,0.0169,0.9624
127,wspoissonTest,0.0209,0.0166,0.9625
127,wspoissonTest_midp,0.022,0.018,0.96
128,AC,0.0184,0.0194,0.9622
128,CP,0.0165,0.0194,0.9641
128,wspoissonTest,0.0165,0.0188,0.9647
128,wspoissonTest_midp,0.018,0.0195,0.9625
129,AC,0.0193,0.0183,0.9624
129,CP,0.0174,0.018,0.9646
129,wspoissonTest,0.0174,0.0177,0.9649
129,wspoissonTest_midp,0.0182,0.0191,0.9627
130,AC,0.0221,0.0184,0.9595
130,CP,0.0198,0.0182,0.962
130,wspoissonTest,0.0203,0.0179,0.9618
130,wspoissonTest_midp,0.0216,0.0193,0.9591
131,AC,0.0217,0.0208,0.9575
131,CP,0.0195,0.0207,0.9598
131,wspoissonTest,0.0195,0.0201,0.9604
131,wspoissonTest_midp,0.0211,0.0213,0.9576
132,AC,0.0219,0.0211,0.957
132,CP,0.0193,0.0211,0.9596
132,wspoissonTest,0.0199,0.0201,0.96
132,wspoissonTest_midp,0.0212,0.0224,0.9564
133,AC,0,0,1
133,CP,0,0,1
133,wspoissonTest,0,0,1
133,wspoissonTest_midp,0,0,1
134,AC,0.0056,0.0046,0.9898
134,CP,0.0047,0.0046,0.9907
134,wspoissonTest,0.0048,0.0045,0.9907
134,wspoissonTest_midp,0.0052,0.005,0.9898
135,AC,5e-4,4e-4,0.9991
135,CP,3e-4,4e-4,0.9993
135,wspoissonTest,4e-4,4e-4,0.9992
135,wspoissonTest_midp,5e-4,4e-4,0.9991
136,AC,0.0024,0.0025,0.9951
136,CP,0.0018,0.0025,0.9957
136,wspoissonTest,0.0018,0.0025,0.9957
136,wspoissonTest_midp,0.0023,0.0027,0.995
137,AC,0.0154,0.0137,0.9709
137,CP,0.0135,0.0136,0.9729
137,wspoissonTest,0.0136,0.0133,0.9731
137,wspoissonTest_midp,0.0149,0.0147,0.9704
138,AC,0.014,0.0106,0.9754
138,CP,0.013,0.0105,0.9765
138,wspoissonTest,0.0132,0.0096,0.9772
138,wspoissonTest_midp,0.014,0.0106,0.9754
139,AC,0.0132,0.0133,0.9735
139,CP,0.0117,0.0133,0.975
139,wspoissonTest,0.0119,0.0124,0.9757
139,wspoissonTest_midp,0.013,0.0135,0.9735
140,AC,0.0221,0.0204,0.9575
140,CP,0.02,0.0203,0.9597
140,wspoissonTest,0.02,0.0199,0.9601
140,wspoissonTest_midp,0.0219,0.021,0.9571
141,AC,0.0199,0.0177,0.9624
141,CP,0.0173,0.0175,0.9652
141,wspoissonTest,0.0176,0.0164,0.966
141,wspoissonTest_midp,0.0196,0.0178,0.9626
142,AC,0.02,0.0188,0.9612
142,CP,0.0181,0.0188,0.9631
142,wspoissonTest,0.0184,0.0174,0.9642
142,wspoissonTest_midp,0.0199,0.0196,0.9605
143,AC,0.0243,0.0202,0.9555
143,CP,0.0216,0.0202,0.9582
143,wspoissonTest,0.0218,0.02,0.9582
143,wspoissonTest_midp,0.0236,0.0206,0.9558
144,AC,0.0211,0.0194,0.9595
144,CP,0.0187,0.0193,0.962
144,wspoissonTest,0.0192,0.0182,0.9626
144,wspoissonTest_midp,0.021,0.02,0.959
145,AC,0.0219,0.0202,0.9579
145,CP,0.0196,0.0201,0.9603
145,wspoissonTest,0.0196,0.0188,0.9616
145,wspoissonTest_midp,0.0217,0.0209,0.9574
146,AC,0,0,1
146,CP,0,0,1
146,wspoissonTest,0,0,1
146,wspoissonTest_midp,0,0,1
147,AC,0.0055,0.0056,0.9889
147,CP,0.0047,0.0056,0.9897
147,wspoissonTest,0.0048,0.0056,0.9896
147,wspoissonTest_midp,0.0052,0.0061,0.9887
148,AC,7e-4,6e-4,0.9987
148,CP,7e-4,6e-4,0.9987
148,wspoissonTest,7e-4,6e-4,0.9987
148,wspoissonTest_midp,7e-4,6e-4,0.9987
149,AC,0.0028,0.0032,0.994
149,CP,0.0021,0.0032,0.9947
149,wspoissonTest,0.0023,0.0031,0.9946
149,wspoissonTest_midp,0.0025,0.0034,0.9941
150,AC,0.0162,0.0139,0.9699
150,CP,0.015,0.0139,0.9711
150,wspoissonTest,0.0153,0.0137,0.971
150,wspoissonTest_midp,0.0162,0.015,0.9688
151,AC,0.0125,0.0104,0.9771
151,CP,0.0112,0.0103,0.9785
151,wspoissonTest,0.0115,0.0093,0.9792
151,wspoissonTest_midp,0.0124,0.0106,0.977
152,AC,0.0147,0.0139,0.9714
152,CP,0.0131,0.0139,0.973
152,wspoissonTest,0.0133,0.0133,0.9734
