design,method,conf_int_1,conf_int_2,width,lower_error_freq,upper_error_freq,coverage
20910,AC,0.0013268294525324983,0.013968631406583134,0.012641801954050635,0.0099,0.1217,0.8684
20910,CP,0.0013327307202710675,0.01334547124906287,0.012012740528791803,0.006,0.13,0.864
20910,wspoissonTest,0.0013383139874708328,0.04696239610177176,0.045624082114300926,0.0061,0,0.9939
20910,wspoissonTest_midp,0.001491983391636246,0.03984408400086456,0.038352100609228314,0.0109,0,0.9891
20911,AC,0.001423570595679994,0.013574574818109643,0.01215100422242965,0.0116,0.1161,0.8723
20911,CP,0.0013975247030790074,0.012998393260682807,0.0116008685576038,0.0065,0.1266,0.8669
20911,wspoissonTest,0.0014028814746553902,0.046844170674068895,0.04544128919941351,0.0069,0,0.9931
20911,wspoissonTest_midp,0.0015484161982956565,0.03975266355600106,0.0382042473577054,0.0111,0,0.9889
20912,AC,0.0013610134448565781,0.013884327208678472,0.012523313763821894,0.0111,0.1275,0.8614
20912,CP,0.001356143738234196,0.013275672843174342,0.011919529104940145,0.0062,0.1379,0.8559
20912,wspoissonTest,0.001361754759750176,0.04696285842792796,0.04560110366817778,0.0063,0,0.9937
20912,wspoissonTest_midp,0.0015138605000928813,0.03984916928155569,0.03833530878146281,0.0124,0,0.9876
20913,AC,0.0014058290015653094,0.01363056533955188,0.012224736337986571,0.0119,0.121,0.8671
20913,CP,0.0013849805721638459,0.013046854577596053,0.011661874005432208,0.0075,0.1293,0.8632
20913,wspoissonTest,0.0013903890766551357,0.04686187241635931,0.045471483339704175,0.0078,0,0.9922
20913,wspoissonTest_midp,0.0015377544888043372,0.0397632987780832,0.038225544289278865,0.0125,0,0.9875
20914,AC,0.0013582287008386928,0.013863964794880574,0.012505736094041882,0.0088,0.1277,0.8635
20914,CP,0.0013544160013394613,0.01325511382470779,0.01190069782336833,0.005,0.1352,0.8598
20914,wspoissonTest,0.0013599715106549738,0.04694388643386787,0.0455839149232129,0.0054,0,0.9946
20914,wspoissonTest_midp,0.001511352671330556,0.039831396662894245,0.03832004399156369,0.0104,0,0.9896
20915,AC,0.004554819527343513,0.00548737505255441,9.325555252108957e-4,0.0017,0.0027,0.9956
20915,CP,0.004544927233809271,0.005487164687229157,9.422374534198861e-4,0.0011,0.0027,0.9962
20915,wspoissonTest,0.004545029581546051,0.045708696434653986,0.04116366685310793,0.0011,0,0.9989
20915,wspoissonTest_midp,0.0030367143357208875,0.03897683392743447,0.03594011959171359,0,0,1
20916,AC,0.0013866499961676614,0.013673517878293271,0.01228686788212561,0.0117,0.1216,0.8667
20916,CP,0.001369600671234397,0.013083746599949866,0.011714145928715468,0.006,0.1301,0.8639
20916,wspoissonTest,0.0013750396338562175,0.04687541163512472,0.0455003720012685,0.0062,0,0.9938
20916,wspoissonTest_midp,0.0015239454333884472,0.03977077511267448,0.03824682967928603,0.0117,0,0.9883
20917,AC,0.029483917921563005,0.08295617751009755,0.05347225958853455,0.0173,0.0214,0.9613
20917,CP,0.027786143624590566,0.08255750850926925,0.05477136488467868,0.0097,0.0236,0.9667
20917,wspoissonTest,0.028011459560714186,0.10038012930347043,0.07236866974275624,0.0104,0,0.9896
20917,wspoissonTest_midp,0.029538054380208355,0.09370206710664222,0.06416401272643386,0.018,2e-4,0.9818
20918,AC,0.03178683453505561,0.0774734378539488,0.045686603318893196,0.0189,0.029,0.9521
20918,CP,0.030358255486417365,0.07723406445841752,0.04687580897200015,0.011,0.0299,0.9591
20918,wspoissonTest,0.030539519022303407,0.09722554795966773,0.06668602893736432,0.012,0,0.988
20918,wspoissonTest_midp,0.031784691754107544,0.09084139473176246,0.05905670297765491,0.0203,0,0.9797
20919,AC,0.033276653365245,0.07454239900653342,0.04126574564128842,0.0181,0.0339,0.948
20919,CP,0.032019349336670444,0.07437581076979624,0.0423564614331258,0.0106,0.036,0.9534
